Agency,Avg Days Till Completion
Corinth Police Department,485 days 23:25:18.104915
Corning Police Department,52 days 05:30:46.157004
Corona Police Department,9 days 13:59:05.390219
Coronado Police Department,17 days 06:27:43.351970500
Corpus Christi Police Department,81 days 15:25:11.488997412
Corrales Police Department,17 days 10:24:47.567501
Cortland County Sheriff's Office,4 days 00:56:22.698255
Cortland Police Department,5 days 10:53:40.840209
Corvallis Police Department,7 days 23:00:29.385263500
Costa Mesa Police Department,152 days 00:40:41.628320500
Cotati Police Department,21 days 20:26:06.299320
Coventry Police Department,4 days 07:50:00
Covina Police Department,36 days 15:34:46.383308
Covington Police Department,18 days 12:11:47.002437
Coweta County Sheriff's Office,16 days 10:54:57.588834250
Coxsackie Village Police Department,188 days 23:11:57.260027
Cranston Police Department,9 days 06:17:15.840540555
Crawford County Sheriff's Office,6 days 03:07:10.930070500
Crawford Police Department,87 days 20:00:00
Creek County Sheriff's Office,41 days 20:00:00
Crescent City Police Department,41 days 00:52:51.616410
Cresskill Police Department,47 days 15:59:48.463791416
Creve Coeur Police Department,61 days 06:51:27.310494
Crisp County Sheriff's Office,55 days 17:28:09.980488
Crittenden County Sheriff,79 days 20:40:40.910824
Crook County Sheriff's Office,74 days 22:13:21.492697
Croton-on-Hudson Village Police Department,327 days 15:42:29.316266
Crowley County Sheriff,93 days 19:01:23.936169
Crowley Police Department,11 days 19:50:23.330945
Cuba Town Police Department,35 days 23:07:05.580104
Culver City Police Department,70 days 00:11:57.102428500
Cumberland County Sheriff,1 days 18:59:41.312847
Cumberland County Sheriff's Office,30 days 05:55:18.596278111
Cumberland Police Department,7 days 03:50:00
Cumming Police Department,7 days 17:18:24.702161
Curry County Sheriff,413 days 00:56:00
Custer County Sheriff,35 days 08:00:00
Cuyahoga County Sheriff,32 days 20:00:00
Cypress Police Department,35 days 13:07:04.358306666
Dallas County Sheriff's Department,20 days 23:08:33.859798
Dallas County Sheriff's Office,86 days 02:42:17.557284
Dallas Police Department,107 days 20:08:48.819717984
Dallas Police Department (Ga),144 days 21:44:28.106312
"Dallas, TX Police Department",55 days 20:00:00
Daly City Police Department,262 days 20:03:44.463169332
Danbury Police Department,27 days 14:09:17.837082750
Dane County Sheriff,30 days 17:28:11.725591
Dansville Village Police Department,636 days 00:28:21.162472
Danvers Police Department,73 days 01:45:00
Danville Police Department,26 days 20:00:00
Daphne Police Department,14 days 21:14:29.957903
Darien Police Department,7 days 09:34:11.957203500
Darien Police Department IL,1 days 01:02:14.053229
Davenport Police Department,345 days 18:03:01.055489
Davidson County (tn) Sheriff's Of,16 days 21:01:03.423741
Davidson County Sheriff,78 days 22:24:00.926927
Davie County Sheriff's Office,55 days 04:12:49.569247
Davie Police Department,109 days 02:24:22.401337334
Daviess County Sheriff,1 days 20:00:00
Davis Police Department,11 days 06:14:03.784348500
Dawson County Sheriff,7 days 16:06:10.453300
Dayton Police Department,23 days 01:41:17.039108
Daytona Beach Police Department,27 days 08:09:18.178337666
DeKalb County Police Department,21 days 20:56:47.774255500
DeSoto County Sheriff's Office,181 days 09:07:27.164790
DeSoto Police Department TX,18 days 12:11:14.475060
Dearborn County Sheriff,7 days 20:00:00
Dearborn Police Department,16 days 02:15:24.561913142
Decatur Police Department,586 days 16:54:00.707281504
Dedham Police Department,6 days 16:16:36.271518
Deer Park Police Department,7 days 08:43:46.716839
Deerpark Town Police Department,272 days 12:57:54.947597
Dekalb County Sheriff's Office,8 days 04:34:08.383570500
Del Norte County Sheriff's Office,995 days 20:00:00
"Deland Police Department, Deland",5 days 00:57:31.952721666
Delano Police Department,64 days 20:00:00
Delaware County Sheriff,5 days 07:00:00
Delaware County Sheriff's Department,7 days 20:04:46.994825
Delaware County Sheriff's Office,6 days 21:20:17.985437
Delaware Police (Ohio),13 days 12:55:18.505093
Delaware State Police,129 days 08:40:31.093828470
Delhi Village Police Department,422 days 12:03:07.302196
Delray Police Dept,13 days 03:11:59.013111
Delta County Sheriff,98 days 19:29:14.725366
Denham Springs Police Department,5 days 20:00:00
Dennis Police Department,358 days 18:04:27.265828336
Denton County Sheriff,3 days 12:00:55.566596
Denton Police Department,68 days 14:56:17.771166600
Denver County Sheriff,2 days 20:00:00
Denver Police Department,37 days 21:50:36.616243480
Department Of Police Accountability,264 days 16:48:50.775630332
"Department Of Public Safety, Georgia State Patrol",1 days 22:48:59.149318
"Department Of State Police, Emergency Management And Homeland Security Division",6 days 22:00:21.513553
"Department of Law and Public Safety, Division of Consumer Affairs",156 days 08:24:16.835184
"Department of Law and Public Safety, Division of Legislative Affairs",13 days 12:24:23.997445666
Department of Public Safety,81 days 20:04:56.330792397
Department of Public Safety and Correctional Services,73 days 22:17:52.663651461
"Department of Public Safety, Architectural Access Board",14 days 19:40:00
Depew Village Police Department,54 days 23:00:16.268560
Deposit Village Police Department,63 days 06:12:25.964581
Derby Police Department,2 days 00:38:23.380369
Derry Police Department,98 days 20:00:00
Des Moines Police Department,372 days 08:57:05.398787004
Des Plaines Police Department,19 days 05:31:06.629203666
Desert Hot Springs Police Department,15 days 10:20:52.516156500
Desoto County Sheriff's Department,0 days 10:29:51.826857
"Desoto County Sheriff's Office, Desoto",28 days 03:36:22.242600
Detroit Police Department,129 days 16:07:40.563927804
Detroit Public Schools Police K-12,63 days 20:00:00
Dewitt County Sheriff's Office,41 days 07:46:57.698253
Dexter Village Police Department,168 days 21:12:02.379639
Dickson County Sheriff's Office,15 days 22:08:02.972687666
Dighton Police Department,460 days 20:00:00
Dillard Police Department,14 days 11:49:05.395892500
Dilley Police Department,227 days 21:00:22.375886500
Dodge City Police Department,30 days 17:30:39.204697500
Donalsonville Police Department,82 days 00:00:23.001012
Doral Police Department,48 days 20:35:33.949723500
Doraville Police Department,269 days 11:43:46.841754
Dorchester County Sheriff,2 days 16:36:10.467827500
Dorchester County Sheriff's Office,154 days 20:00:00
Dothan Police Department,27 days 21:26:16.729763
Dougherty County Sheriff,2 days 20:58:13.171234
Douglas County Sheriff,20 days 01:50:32.572929
Douglas County Sheriff's Office,29 days 12:15:05.115083666
Douglas County Sheriffs Office (NV),13 days 12:02:22.901102
Douglasville Police Department,3 days 08:33:56.114985500
Dover Police Department,1 days 14:46:19.819002857
Downers Grove Police Department,36 days 00:18:20.009571
Downey Police Department,586 days 15:24:12.529489592
Doylestown Township Police Department,119 days 08:00:00
Dracut Police Department,8 days 20:00:00
Dryden Police Department,119 days 05:31:32.479080
DuPage County Sheriff,12 days 12:00:00
Dublin Police Department (OH),23 days 06:29:31.482285
Dubuque Police Department,16 days 20:00:00
Dudley Police Department,0 days 19:00:00
Duke University Police Department,7 days 19:00:00
Duluth Police Department,710 days 04:06:10.991195336
Dunwoody Police Department,12 days 12:11:14.475060
Duplin County Sheriff's Office,50 days 23:13:16.093193
Durham County Sheriff's Office,59 days 19:00:00
Durham Police Department,40 days 04:13:40.777292630
Duval County Sheriff,20 days 17:50:41.922123
Duxbury Police Department,8 days 21:34:41.543057
Eagle Mountain Police Department,56 days 14:25:37.544750
Early County Sheriff's Office,85 days 00:56:52.446630
East Baton Rouge Parish Sheriff's Office,23 days 13:58:56.385713857
East Brandywine Township Police Department,52 days 20:00:00
East Carolina State University Police Department,89 days 22:55:40.709209500
East Carroll Parish Sheriff's Office,226 days 12:19:11.622957
East Feliciana Parish Sheriff's Office,11 days 20:00:00
East Fishkill Town Police Department,19 days 22:42:18.513189
East Greenbush Police Department,36 days 20:00:00
East Greenwich Police Department,4 days 15:46:49.396809200
East Hampton Town Police Department,141 days 15:39:47.959684
East Hampton Village Police Department,19 days 07:30:00
East Lansing Police Department,46 days 07:30:00
East Liverpool Police Department,0 days 20:00:00
East Palo Alto Police Department,261 days 14:52:26.006835
East Providence Police Department,6 days 16:48:34.380505
East Rochester Village Police Department,132 days 17:46:21.292649
East Rutherford Police Department,34 days 00:02:47.455586500
Easthampton Police Department,2 days 06:29:19.203660500
Eastland County Sheriff's Office,1439 days 00:16:00
Easton Police Department,39 days 20:00:00
Echols County Sheriff's Office,10 days 07:41:05.145858
Echols County Sheriffs Office,4 days 12:11:14.475060
Eddy County Sheriff's Department,24 days 20:00:00
Eden Police Department,100 days 03:29:40.673887
Edgewood Borough Police,59 days 02:33:56.396610
Edinburg Police Department,32 days 22:45:34.528473666
Edison Police Department,172 days 16:29:30.086228
Edwardsville Police Department,6 days 20:00:30.686863
Effingham County Sheriff's Office,41 days 07:46:57.698253
El Cajon Police Department,120 days 02:21:45.953004600
El Cerrito Police Department,0 days 21:38:10.943025
El Dorado County Sheriff's Office,104 days 18:41:08.897448858
El Dorado Police Department,5 days 11:57:23.027974
El Monte Police Department,30 days 12:12:18.447225800
El Paso County Sheriff,67 days 05:47:47.629701500
El Paso Police Department,59 days 18:01:13.194966375
El Segundo Police Department,23 days 03:43:13.406016
Elbert County Sheriff,0 days 20:00:00
Elgin Police Department,36 days 21:53:21.264150571
Elk Grove Police Department,61 days 05:09:32.258553429
Elk River Police Department,58 days 17:51:57.079994
Elkhart Police Department,33 days 08:43:01.642867
Elkins City Police Department,32 days 19:00:00
Elko County Nevada Sheriff's Office,37 days 22:24:51.220036666
Elko Police Department,12 days 15:35:42.498700
Ellensburg Police Department,18 days 19:00:00
Ellenville Village Police Department,59 days 20:00:00
Ellicottville Town Police Department,217 days 22:26:34.506451
Ellis County Sheriff's Department,0 days 00:56:00
Elmhurst Police Department,7 days 23:36:11.587220500
Elmira Heights Village Police Department,167 days 12:43:35.082931500
"Elmwood Park, NJ Police Department",59 days 08:22:22.470887
Eloy Police Department,33 days 19:00:00
Emerson College Police,39 days 19:00:00
Emeryville Police Department,40 days 02:42:07.861735800
Emmet County Sheriff’s Office,8 days 01:22:02.170374
Emporia Police Department,1 days 21:08:00.471563
Enfield Police Department,54 days 16:57:28.685170800
Englewood Cliffs Police Department,19 days 19:22:13.422590
Englewood Police Department,47 days 10:52:18.875667
Enid Police Department,36 days 16:01:07.412926500
Enumclaw Police Department,21 days 22:23:13.395974500
Erie County Central Police Services,27 days 19:00:00
Erie County Sheriff,4 days 18:21:51.231248
Erie County Sheriff's Office,1169 days 07:53:27.740257536
Erie Police Department,289 days 12:08:48.455012752
Erlanger Police Department,6 days 08:59:21.379723
Escambia County Sheriff's Office,111 days 05:14:48.446412600
Escondido Police Department,56 days 08:39:34.394052273
Essex County Sheriff,21 days 05:18:27.289301500
Essex County Sheriff's Office,0 days 19:27:25.597181
Etna Borough Police Department,416 days 19:30:00
Etna Police Department,32 days 15:32:57.786758
Euclid Police Department,29 days 19:00:00
Eufaula Police Department,1 days 20:00:00
Eugene Police Department,104 days 20:10:49.058642
Eureka Police Department,18 days 18:06:09.321415750
Evangeline Parish Sheriff's Office,13 days 20:00:00
Evans County Sheriff's Office,15 days 07:41:05.145858
Evanston Police Department,35 days 20:53:36.842298415
Evansville Police Department,64 days 19:06:01.478115286
Everett Police Department,78 days 19:47:15.015474533
Evergreen Park Police Department,9 days 03:42:36.488320500
Excelsior Springs Police Department,1 days 22:47:01.077570
Executive Office of Public Safety and Security,142 days 13:31:22.905840530
Fairbanks Police Department,4 days 19:00:00
Fairfax County Department Of Public Safety Communications,0 days 19:10:45.985619
Fairfax County Police Department,15 days 22:19:10.325778047
Fairfax County Sheriff,9 days 13:29:46.456455375
Fairfield Police Department,31 days 00:18:15.894322182
Fairmont Police Department,5 days 12:48:35.058448
Fairport Village Police Department,41 days 18:23:42.216993500
Falfurrias Police Department,33 days 20:00:00
Fall River Police Department,58 days 01:08:57.577897056
Falls Church Police Department,56 days 20:37:04.296043500
Fallsburg Police Department,148 days 07:05:46.435881
Falmouth Police Department,17 days 07:37:29.931035
Fannin County Sheriff's Office,91 days 19:43:19.798113
Fargo Police Department,28 days 22:16:02.488315666
Farmers Branch Police Department,78 days 12:28:53.223708500
Farmington Hills Police Department,27 days 14:44:41.014749666
Farmington Police Department,12 days 11:01:33.921228
Faulkner County Sheriff's Office,22 days 23:48:25.732348
Fayette County Sheriff,5 days 19:03:05.357071250
Fayette County Sheriff's Office,322 days 23:05:20.741089
Fayetteville Police Department,428 days 21:51:09.925054584
Federal Way Police Department.,44 days 13:54:18.452874166
Fenton Police Department,42 days 20:00:00
Fentress County Sheriff,9 days 20:05:23.213617
Ferguson Police Department,105 days 21:29:25.753542566
Ferndale Police Department,11 days 16:11:49.714231
Fishkill Police Department,188 days 08:06:00.329821
Fitchburg Police Department,462 days 02:34:47.298309504
Fitzgerald Police Department,101 days 12:11:14.475060
Flagler County Sheriff's Office,19 days 20:00:00
Flagstaff Police Department,106 days 19:04:35.050803
Flathead County Sheriff's Office,105 days 19:00:00
Flemington Police Department,32 days 23:28:09.887552
Flint Police Dept.,57 days 13:48:18.935393200
Floral Park Village Police Department,1 days 22:06:15.192068
Florence Police Department,144 days 08:59:00
Florida City Police Department,19 days 08:20:22.256773
Florida Village Police Department,110 days 21:02:23.221894500
Florissant Police,254 days 20:02:57.386646
Flower Mound Police Department,73 days 13:13:15.211408
Flowood Police Department,41 days 13:07:05.209659
Floyd County Sheriff,68 days 07:38:20.546924667
Foley Police Department,10 days 23:20:11.011117
Folsom Police Department,12 days 19:34:38.754236
Fontana Police Department,157 days 07:26:10.902131300
Ford County Sheriff's Office,13 days 17:43:06.638568
Forsyth County Sheriff,6 days 20:55:54.722215
Forsyth County Sheriff's Office,274 days 01:05:55.573519
Fort Bend County Sheriff's Office,267 days 18:19:08.837952
Fort Bragg Police Department,28 days 08:01:02.356203750
Fort Myers Police Department,42 days 10:53:58.091331
Fort Pierce Police Department,4 days 16:49:19.767906
Fort Scott Police Department,20 days 12:06:03.364373
Fort Walton Beach Police Department,15 days 20:00:00
Fort Wayne Police,82 days 11:49:00.535073999
Fort Worth Police Department,83 days 21:35:46.078262456
Fortuna Police Department,14 days 00:56:42.845310500
Foster City Police Department,15 days 14:54:05.247082666
Foster Police Department,15 days 02:00:00
Fountain Valley Police Department,18 days 11:00:41.286623500
Fox Valley Metro Police,19 days 19:10:01.931779
Foxborough Police Department,600 days 16:17:08.571428568
Framingham Police Department,12 days 21:27:04.729239555
Framingham State University Police,1080 days 11:47:37.892524
Franconia Police Department,4 days 22:12:56.346101
Frankfort Police Department,7 days 10:25:08.246757
Franklin County Sheriff's Department,35 days 10:45:05.522348
Franklin County Sheriff's Office,192 days 14:57:47.896507362
"Franklin County Sheriff's Office, Pasco, Washington State",26 days 10:31:18.310136
Franklin County sheriff,9 days 20:31:57.357232
Franklin Police Department,3 days 17:01:09.860205666
Frederick County Sheriff's Office,160 days 12:09:11.582829778
Fredericksburg Police Department,6 days 19:00:00
Freeport Village Police Department,233 days 09:14:49.901711
Freetown Police Department,340 days 19:00:00
Fremont County Sheriff,9 days 08:48:20.930800
Fremont Police Department,18 days 13:35:48.091573500
Fresno County Sheriff's Office,186 days 15:47:37.894353100
Fresno Police Department,105 days 23:20:11.505253792
Friendship Town Police Department,440 days 09:00:40.549046
Frisco Police Department,26 days 20:45:58.862274444
Fullerton Police Department,128 days 05:24:48.349049624
Fullerton Police Department CA,71 days 01:44:32.018373
Fulton County Police Department,21 days 19:00:00
Fulton County Sheriff,18 days 10:14:21.860141
Fulton County Sheriff's Department,3 days 19:49:15.461561
Fulton County Sheriff's Office,178 days 08:00:55.828630400
Fulton Police Department,258 days 23:25:18.104915
Gadsden County Sheriff's Office,13 days 19:00:00
"Gadsden, AL Police Department",121 days 19:00:00
Gainesville Police Department,52 days 09:11:42.661814999
Gallatin County Sheriff's Office,103 days 20:16:27.911993500
Gallup Police Department,47 days 19:00:00
Galt Police Department,12 days 02:38:02.566194750
Galveston Police Department,23 days 13:29:56.090029
Garden City Police Department,32 days 20:52:45.056931
Garden City Village Police Department,57 days 11:38:00.566952
Garden Grove Police Department,56 days 04:34:30.519382250
Gardena Police Department,54 days 11:02:46.656063250
Gardner Police Department,196 days 02:46:39.526694
Garfield County Sheriff,3 days 20:00:00
Garland County Sheriff,23 days 01:56:46.269950
Garland Texas Police Department,39 days 04:44:48.502752166
Gary Police Department,168 days 20:00:00
Garza County Sheriff's Office,17 days 18:33:42.494842
Gaston County Police Department,76 days 19:00:00
Gaston County Sheriff,127 days 06:42:53.627553
Gastonia Police Department,44 days 19:52:36.398257500
Gates Town Police Department,193 days 21:43:39.996137
Geddes Town Police Department,198 days 08:51:09.205767
Gem County Sheriff's Office,19 days 21:02:19.843900
Genesee County Sheriff,100 days 00:16:54.044308
Geneseo Village Police Department,35 days 21:40:27.900085
Geneva City Police Department,378 days 07:28:57.605226
Geneva Police Department,31 days 20:00:00
Georgia Department of Public Safety,32 days 04:57:55.313730250
"Georgia Institute of Technology Police Department, Office of Emergency Preparedness",4 days 08:00:00
Georgia Tech Police Department,38 days 01:48:17.294326
Germantown Police Department,19 days 04:29:17.374578
Gettysburg Police Department,24 days 00:52:16.465611500
Giddings Police Department,640 days 05:08:41.868420
Gila County Sheriff's Office,229 days 20:00:00
Gilbert Police Department,39 days 05:39:57.485564500
Giles County Sheriff,7 days 06:22:07.358083
Giles County Sheriff's Office,568 days 11:34:54.581325
Gilmer County Sheriff's Office,9 days 18:38:23.655605500
Glades County Sheriff's Office,313 days 05:34:01.994273500
Glascock County Sheriff's Office,10 days 07:41:05.145858
Glen Cove Police Department,24 days 20:00:00
Glen Ellyn Police Department,11 days 22:38:56.227263
Glen Park Village Police Department,15 days 04:37:09.404458
Glendale Police Department,118 days 21:56:45.711101610
"Glendora, CA Police Department",20 days 04:07:44.926758
Glenn County Sheriff,19 days 10:25:28.400949800
Glenn County Sheriffs Office,8 days 00:27:36.991795
Glenview Police Department Illinois,12 days 02:49:34.896892250
Glenwood Springs Police Department,43 days 20:00:00
Globe Sheriff's Office,3 days 19:00:00
Glocester Police Department,2 days 02:00:00
Gloucester Police Department,1201 days 20:00:00
Gloversville City Police Department,349 days 04:39:43.176792
Glynn County Sheriff's Department,21 days 19:59:38.480011333
Goffstown Police Department,12 days 21:14:12.064286
Gogebic County Sheriff,11 days 07:24:13.629996666
Golden Beach Police Department,112 days 12:50:34.533296334
Golden Valley Police Department,117 days 21:58:59.649594
"Goleta, CA Police Department",19 days 20:00:00
Gooding County Sheriff's Office,1036 days 03:12:52.993563008
Goodyear Police Department,23 days 20:45:29.829585333
Gordon County Sheriff's Office,112 days 22:12:03.271896
Goshen Police Department,1 days 20:00:00
Goshen Town Police Department,437 days 15:32:40.441757336
Graham County Sheriff's Department,22 days 22:23:19.881453
Graham Police Department,299 days 03:55:22.694987
Grand Forks Police Department,3 days 19:34:41.634660600
Grand Island Town Police Department,55 days 11:42:36.465572333
Grand Junction Police Department,3 days 13:53:18.529032666
Grand Prairie Police Department,40 days 10:07:53.642638928
Grand Rapids Police Department,150 days 03:40:00
Grant County Sheriff,40 days 09:50:26.655118500
Grant County Sheriff's Office,92 days 10:14:21.860141
Grants Pass Department of Public Safety,31 days 22:33:57.625504
Grantville Police Department,0 days 20:52:37.857273
Granville Village Police Department,89 days 08:31:31.832399
Gratiot County Sheriff,36 days 08:01:27.904414
Graves County Sheriff's Office,16 days 11:16:37.713135
Graymoor-devondale Police Department,2 days 10:17:00.179860
Grays Harbor County Sheriff's Office,34 days 15:48:06.637171800
Grayson County Sheriff's Office,16 days 19:00:00
Great Barrington Police Department,6 days 23:45:19.297682
Great Falls Police Dept.,33 days 19:08:27.815211500
Great Neck Estates Village Police Department,61 days 20:37:55.547912
Greece NY Police Department,41 days 21:15:16.453617
Greeley Police Department,22 days 20:00:00
Green Bay Police Department,214 days 19:45:28.730736860
"Green Cove Springs, Police Department",36 days 22:45:02.995350
Green Island Village Police Department,350 days 11:32:11.178797
Greenburgh Police Department,22 days 17:58:41.746519500
Greene County Sheriff,56 days 03:15:03.295915750
Greene County Sheriff's Department,8 days 23:40:52.447449
Greene County Sheriff's Office,397 days 01:46:48.469531
"Greene County, Ms Sheriff's Office",41 days 12:34:24.367757
Greene Village Police Department,47 days 17:11:13.356270
Greenfield Police Department,13 days 01:29:04.425484
Greensboro Police Department,141 days 23:39:56.083624116
Greensburg Police Department,61 days 11:08:14.510426
Greenville County Sheriff's Department,28 days 11:59:40.472052500
Greenville Police Department,52 days 09:26:50.513570143
Greenwood Lake Village Police Department,187 days 05:35:39.220771
Greer Police Department,0 days 19:00:00
Griffith Police Department (IN),12 days 22:19:44.748340
Grosse Ile Police,4 days 19:39:58.122164
Grosse Pointe Park Public Safety,106 days 00:12:18.773719
Groton Police Department,0 days 01:31:28.868820
Groton Village Police Department,341 days 11:53:02.958755
Grover Beach Police Department,11 days 21:33:31.380518
Grundy County Sheriff's Office,91 days 16:00:17.556196
Guadalupe County Sheriff,571 days 03:13:30.363546496
Guadalupe Police Department,46 days 22:28:34.327229
Guam Police Department,55 days 20:00:00
Guilderland Police,195 days 06:35:37.279821
Guilford County Sheriff's Office,135 days 00:10:15.632921
Gulf Breeze Police Department,3 days 22:35:25.071501500
Gulf County Sheriff's Office,1 days 19:49:45.245887
Gunnison Police Department,2 days 20:25:11.702630
Gurnee Police Department,1 days 14:54:47.572757
Gwinnett County Police Department,98 days 18:16:43.194902165
Gwinnett County Sheriff,22 days 21:52:54.316137
Haddon Heights Police Department,3 days 20:00:00
Hadley Police Department,1 days 20:00:00
Hagan Police Department,7 days 01:46:50.819886
Hagerstown City Police Department,49 days 04:14:03.004102500
Hagerstown Police Department,58 days 20:49:34.734516
Haines City Police Department,9 days 21:30:04.793086
Hall County Sheriff,21 days 01:06:10.074866
Hamblen County Sheriff,6 days 19:24:03.615474
Hamburg Village Police Department,390 days 04:40:00.353195
Hamilton County Sheriff,5 days 08:00:00
Hamilton County Sheriff (ID),24 days 22:56:42.719059
Hamilton County Sheriff's Office,12 days 03:47:34.586905666
Hamilton Township North Police Department,14 days 20:00:00
Hamilton county sheriff's office,25 days 12:36:48.337237
Hammond Police Department,289 days 06:21:44.374378400
Hammondsport Village Police Department,92 days 20:17:37.532392
Hampden County Sheriff's Office,12 days 07:09:49.395512666
Hampshire County Sheriff,38 days 10:10:44.532876500
Hampton Police Division,360 days 12:31:09.267722252
Hancock County Sheriff,14 days 07:19:17
Hancock County Sheriff's Office,13 days 21:32:18.230588
Hancock Village Police Department,239 days 08:56:42.534357
Hanson Police Department,167 days 22:08:51.846370
Hardee County Sheriff's Office,51 days 03:36:25.407927666
Hardin County Sheriff,253 days 17:44:33.235442
Hardin County Sheriff's Office,76 days 07:46:57.698253
Hardin County Sheriffs Office,97 days 22:07:33.531026
Harlingen Police Department,7 days 08:00:00
Harnett County Sheriff,86 days 19:13:38.722501
Harris County Sheriff,93 days 22:52:09.977806474
Harris County Sheriff's Office,30 days 21:56:01.409880
Harrisburg Police Department,190 days 16:40:49.335034250
Hart County Sheriff's Office,7 days 22:53:48.275712
Hartford Police Department,235 days 06:46:37.642396
Harvard University Police,35 days 13:30:38.567082285
Harwood Heights Police Department Illinois,54 days 03:10:17.150033
Haverhill Police Department,9 days 02:49:05.163715625
Hawaii Department of Public Safety,35 days 22:41:52.829351708
Hawaii Police Department,25 days 10:40:34.752965500
Hawkins County Sheriff,516 days 06:22:07.358083
Hawthorne Police Department,224 days 20:17:28.299046600
Hays County Sheriff's Office,13 days 19:29:38.559757714
Haysville Police Department,6 days 00:24:41.500354
Hayward Police Department,166 days 05:37:17.869319272
Haywood County Sheriff's Office,57 days 01:50:59.481218
Heidelberg Police Department,17 days 08:00:00
Helena Police Department,126 days 03:22:30.216027250
Hemet Police Department,17 days 07:17:46.511162
Henderson County Sheriff's Office,13 days 20:58:02.947786
Henderson Police,53 days 17:26:05.694191429
Henderson Police Department,82 days 09:27:27.601950111
Hendry County Sheriff,75 days 21:57:10.397003
Hennepin County Sheriff,107 days 22:05:25.254437412
Hennepin County Sheriff's Office,40 days 02:06:15.740609428
Henrico County Sheriff,0 days 02:23:38.616590
Henry County Sheriff,83 days 07:41:05.145858
Hercules Police Department,21 days 15:48:34.976653
Herkimer County Sheriff's Office,20 days 11:20:05.255677
Hermosa Beach Police Department,17 days 19:36:50.447945666
Hernando County Sheriff's Department,43 days 06:47:33.365548800
Herndon Police Department,18 days 05:32:55.882742250
Hialeah Gardens Police Department,33 days 23:19:44.790381
Hialeah Police Department,135 days 11:29:43.409606800
Hickory Hills Police Department,19 days 21:01:16.319253
Hidalgo County Sheriff's Office,171 days 11:33:10.288216750
High Point Police Department,60 days 00:42:50.135911
Highland County Sheriff,201 days 20:59:21.898550
Highland Park Dept of Public Safety,87 days 05:15:53.872213500
Highland Park Police Department,6 days 19:30:00
Hill Country Village Police Department,14 days 00:24:20.661835
Hillsboro Police Department,490 days 23:25:51.922193
Hillsborough County Sheriff,37 days 23:41:48.560073
Hillsborough Police Department,3 days 22:54:04.143581500
Hillsdale County Sheriff's Office,23 days 05:16:53.199213500
Hinds County Sheriff,210 days 20:00:00
Hinesville Police Department,19 days 11:05:23.199159
Hingham Police Department,303 days 07:30:00
Hinsdale County Sheriffs Office,8 days 23:24:35.465400
Hinsdale Police Department,119 days 09:35:00.423033
Hiram Police Department,2 days 11:00:24.334969
Hobbs Police Department,176 days 08:39:29.577399666
Hocking County Sheriff,14 days 20:00:00
Hogansville Police Department,8 days 21:47:25.328531
Holbrook Police Department,1 days 19:41:50.146228
Holden Police Department,59 days 18:45:16.840344
Hollis Police Department,11 days 23:18:00.744857
Hollister Police Department,0 days 18:06:55.992074
Holly Springs Police Department,17 days 19:29:16.922474
Hollywood Park Police Department,0 days 21:57:00.640947
Hollywood Police Department,195 days 10:26:05.438840198
Holmes County Sheriff's Department,50 days 23:37:13.813162
Holmes County Sheriff's Office,66 days 00:47:13.394367667
Homestead Police Department,83 days 02:35:26.268100
Homestead Police Department (PA),18 days 11:05:23.199159
Homewood Police Department,56 days 11:05:23.199159
Honolulu Police Department,310 days 18:12:27.926298524
Hooksett Police Department,49 days 20:49:39.670346
Hoosick Falls Village Police Department,370 days 19:49:58.940064
Hopkinton Police Department,27 days 20:29:56.363976750
Horn Lake Police Department,0 days 10:02:19.839458
Hornell City Police Department,350 days 05:20:00.296141
Horry County Police Department,19 days 20:00:00
Horry County Sheriff's Office,906 days 10:38:49.648048992
Hot Spring County Sheriff's Office,10 days 10:14:21.860141
Houston County Sheriff,7 days 12:58:13.866375600
Houston County Sheriff's Office,174 days 21:33:21.362472
Houston Police Department,58 days 11:46:46.867798829
Howard County Police Department,251 days 14:43:41.180109112
Howard County Sheriff,18 days 19:07:01.319037
Howard County Sheriff's Office,81 days 19:42:29.646032
Hudson County Sheriff's Department,29 days 21:55:12.667644
Hudson Falls Village Police Department,35 days 07:49:32.693627
Hudson Police Department,12 days 13:23:44.282471500
Huerfano County Sheriffs Office,15 days 20:00:00
Hughes County Sheriff's Department,7 days 19:39:33.378970
Hull Police Department,127 days 07:30:00
Humboldt County Sheriff's Office,86 days 12:03:02.302748143
Hunterdon County Sheriff's Office,5 days 18:29:31.592417
Huntingdon County Sheriff,73 days 00:53:50.401615
Huntington Bay Village Police Department,83 days 04:31:46.588080
Huntington Beach Police Department,69 days 02:12:35.350901375
Huntington Park Police Department,50 days 13:27:56.445107666
Huntington Police Department,15 days 02:27:40.412160750
Huntsville Police Department,247 days 01:13:40.545991112
Huron City Police Department,24 days 15:56:49.273792
Huron County Sheriff,95 days 16:25:25.480826
Hurricane City Police Department,127 days 20:00:00
Hurst Police Department,1 days 20:00:00
Hyattsville Police Department,191 days 03:16:05.304387
Hyde Park Town Police Department,357 days 08:50:49.483990
Iberia Parish Sheriff's Office,83 days 20:00:00
Iberville Parish Sheriff's Office,309 days 23:56:00
Idaho State Police,34 days 10:30:23.307889033
Illinois State Police,44 days 07:50:56.980348609
Imperial County Sheriff's Office,131 days 00:35:20.862379250
Independence County Sheriff's Office,14 days 21:34:09.283162
Independence Police Department,322 days 10:20:46.652169500
Independent Police Department,197 days 08:52:20.579934
