,Agency,Avg Days Till Completion
528,Cobb County Sheriff,5 days 07:20:55.997060
529,Cobleskill Village Police Department,33 days 07:33:41.090330
530,Cochise County Sheriff's Office,72 days 18:46:35.256351333
531,Cockrell Hill Police Department,77 days 22:56:07.594899500
532,Cocoa Police Department,71 days 19:00:00
533,Coffee County Sheriff,14 days 20:58:48.261746
534,Cohocton Police Department,5 days 02:11:41.688554500
535,Colchester Police Department,2 days 13:19:45.580909
536,Colchester Town Police Department,75 days 10:01:07.981398
537,Coles County Sheriff's Office,31 days 07:46:57.698253
538,College Park Police Department,12 days 01:59:59.469741
539,College Station Police Department,61 days 22:14:17.165438
540,Collegedale Police Department,32 days 20:00:00
541,Collier County Sheriff's Office,38 days 06:32:27.492514285
542,Collierville Police Department,216 days 08:27:23.875391
543,Collin County Sheriff's Office,19 days 20:00:00
544,Colonie Police Department,26 days 20:35:50.686042
545,Colorado Department of Public Safety,37 days 10:06:53.134453
546,Colorado Division Homeland Security And Emergency Management Department Of Public Safety,21 days 01:02:45.441178
547,Colorado Springs Police Department,49 days 20:28:10.752131941
548,Columbia County Sheriff,4 days 05:46:24.959001500
549,Columbia County Sheriff's Office,13 days 10:34:39.422968750
550,Columbia Falls Police Department,46 days 19:00:00
551,Columbia Police Department,107 days 07:20:55.366685420
552,Columbus Division of Police,22 days 22:03:47.965712029
553,Columbus Police Department,305 days 16:53:06.225108
554,Colusa County Sheriff's Office,6 days 18:15:37.997720500
555,Concord Police Department,33 days 05:20:27.405057
556,Concordia Parish Sheriff's Office,0 days 20:00:00
557,Conneaut Police Department,26 days 20:00:00
558,Connecticut State Police,239 days 05:45:59.850521624
559,Conroe Police Department,28 days 09:17:32.967919500
560,Contra Costa County Sheriff,6 days 12:11:11.167931
561,Converse County Sheriff's Office,80 days 11:31:11.331184
562,Conway County Sheriff's Office,91 days 20:18:46.717701333
563,Conway Police Department,6 days 20:00:00
564,Cook County Sheriff,38 days 08:26:50.633866371
565,Cookeville Police Department,15 days 01:14:16.071295500
566,Coos County Sheriff,34 days 22:09:19.936610
567,Copiah County Sheriff's Department,565 days 23:44:54.905292
568,Copley Township Police,19 days 20:00:00
569,Coppell Police Department,68 days 06:36:52.666670333
570,Coral Gables Police Department,73 days 05:06:28.250387
571,Coral Springs Police Department,77 days 17:26:50.453164500
572,Corfu Village Police Department,79 days 09:40:06.489475
573,Corinth Police Department,485 days 23:25:18.104915
574,Corning Police Department,52 days 05:30:46.157004
575,Corona Police Department,9 days 13:59:05.390219
576,Coronado Police Department,17 days 06:27:43.351970500
577,Corpus Christi Police Department,81 days 15:25:11.488997412
578,Corrales Police Department,17 days 10:24:47.567501
579,Cortland County Sheriff's Office,4 days 00:56:22.698255
580,Cortland Police Department,5 days 10:53:40.840209
581,Corvallis Police Department,7 days 23:00:29.385263500
582,Costa Mesa Police Department,152 days 00:40:41.628320500
583,Cotati Police Department,21 days 20:26:06.299320
584,Coventry Police Department,4 days 07:50:00
585,Covina Police Department,36 days 15:34:46.383308
586,Covington Police Department,18 days 12:11:47.002437
587,Coweta County Sheriff's Office,16 days 10:54:57.588834250
588,Coxsackie Village Police Department,188 days 23:11:57.260027
589,Cranston Police Department,9 days 06:17:15.840540555
590,Crawford County Sheriff's Office,6 days 03:07:10.930070500
591,Crawford Police Department,87 days 20:00:00
592,Creek County Sheriff's Office,41 days 20:00:00
593,Crescent City Police Department,41 days 00:52:51.616410
594,Cresskill Police Department,47 days 15:59:48.463791416
595,Creve Coeur Police Department,61 days 06:51:27.310494
596,Crisp County Sheriff's Office,55 days 17:28:09.980488
597,Crittenden County Sheriff,79 days 20:40:40.910824
598,Crook County Sheriff's Office,74 days 22:13:21.492697
599,Croton-on-Hudson Village Police Department,327 days 15:42:29.316266
600,Crowley County Sheriff,93 days 19:01:23.936169
601,Crowley Police Department,11 days 19:50:23.330945
602,Cuba Town Police Department,35 days 23:07:05.580104
603,Culver City Police Department,70 days 00:11:57.102428500
604,Cumberland County Sheriff,1 days 18:59:41.312847
605,Cumberland County Sheriff's Office,30 days 05:55:18.596278111
606,Cumberland Police Department,7 days 03:50:00
607,Cumming Police Department,7 days 17:18:24.702161
608,Curry County Sheriff,413 days 00:56:00
609,Custer County Sheriff,35 days 08:00:00
610,Cuyahoga County Sheriff,32 days 20:00:00
611,Cypress Police Department,35 days 13:07:04.358306666
612,Dallas County Sheriff's Department,20 days 23:08:33.859798
613,Dallas County Sheriff's Office,86 days 02:42:17.557284
614,Dallas Police Department,107 days 20:08:48.819717984
615,Dallas Police Department (Ga),144 days 21:44:28.106312
616,"Dallas, TX Police Department",55 days 20:00:00
617,Daly City Police Department,262 days 20:03:44.463169332
618,Danbury Police Department,27 days 14:09:17.837082750
619,Dane County Sheriff,30 days 17:28:11.725591
620,Dansville Village Police Department,636 days 00:28:21.162472
621,Danvers Police Department,73 days 01:45:00
622,Danville Police Department,26 days 20:00:00
623,Daphne Police Department,14 days 21:14:29.957903
624,Darien Police Department,7 days 09:34:11.957203500
625,Darien Police Department IL,1 days 01:02:14.053229
626,Davenport Police Department,345 days 18:03:01.055489
627,Davidson County (tn) Sheriff's Of,16 days 21:01:03.423741
628,Davidson County Sheriff,78 days 22:24:00.926927
629,Davie County Sheriff's Office,55 days 04:12:49.569247
630,Davie Police Department,109 days 02:24:22.401337334
631,Daviess County Sheriff,1 days 20:00:00
632,Davis Police Department,11 days 06:14:03.784348500
633,Dawson County Sheriff,7 days 16:06:10.453300
634,Dayton Police Department,23 days 01:41:17.039108
635,Daytona Beach Police Department,27 days 08:09:18.178337666
636,DeKalb County Police Department,21 days 20:56:47.774255500
637,DeSoto County Sheriff's Office,181 days 09:07:27.164790
638,DeSoto Police Department TX,18 days 12:11:14.475060
639,Dearborn County Sheriff,7 days 20:00:00
640,Dearborn Police Department,16 days 02:15:24.561913142
641,Decatur Police Department,586 days 16:54:00.707281504
642,Dedham Police Department,6 days 16:16:36.271518
643,Deer Park Police Department,7 days 08:43:46.716839
644,Deerpark Town Police Department,272 days 12:57:54.947597
645,Dekalb County Sheriff's Office,8 days 04:34:08.383570500
646,Del Norte County Sheriff's Office,995 days 20:00:00
647,"Deland Police Department, Deland",5 days 00:57:31.952721666
648,Delano Police Department,64 days 20:00:00
649,Delaware County Sheriff,5 days 07:00:00
650,Delaware County Sheriff's Department,7 days 20:04:46.994825
651,Delaware County Sheriff's Office,6 days 21:20:17.985437
652,Delaware Police (Ohio),13 days 12:55:18.505093
653,Delaware State Police,129 days 08:40:31.093828470
654,Delhi Village Police Department,422 days 12:03:07.302196
655,Delray Police Dept,13 days 03:11:59.013111
656,Delta County Sheriff,98 days 19:29:14.725366
657,Denham Springs Police Department,5 days 20:00:00
658,Dennis Police Department,358 days 18:04:27.265828336
659,Denton County Sheriff,3 days 12:00:55.566596
660,Denton Police Department,68 days 14:56:17.771166600
661,Denver County Sheriff,2 days 20:00:00
662,Denver Police Department,37 days 21:50:36.616243480
663,Department Of Police Accountability,264 days 16:48:50.775630332
664,"Department Of Public Safety, Georgia State Patrol",1 days 22:48:59.149318
665,"Department Of State Police, Emergency Management And Homeland Security Division",6 days 22:00:21.513553
666,"Department of Law and Public Safety, Division of Consumer Affairs",156 days 08:24:16.835184
667,"Department of Law and Public Safety, Division of Legislative Affairs",13 days 12:24:23.997445666
668,Department of Public Safety,81 days 20:04:56.330792397
669,Department of Public Safety and Correctional Services,73 days 22:17:52.663651461
670,"Department of Public Safety, Architectural Access Board",14 days 19:40:00
671,Depew Village Police Department,54 days 23:00:16.268560
672,Deposit Village Police Department,63 days 06:12:25.964581
673,Derby Police Department,2 days 00:38:23.380369
674,Derry Police Department,98 days 20:00:00
675,Des Moines Police Department,372 days 08:57:05.398787004
676,Des Plaines Police Department,19 days 05:31:06.629203666
677,Desert Hot Springs Police Department,15 days 10:20:52.516156500
678,Desoto County Sheriff's Department,0 days 10:29:51.826857
679,"Desoto County Sheriff's Office, Desoto",28 days 03:36:22.242600
680,Detroit Police Department,129 days 16:07:40.563927804
681,Detroit Public Schools Police K-12,63 days 20:00:00
682,Dewitt County Sheriff's Office,41 days 07:46:57.698253
683,Dexter Village Police Department,168 days 21:12:02.379639
684,Dickson County Sheriff's Office,15 days 22:08:02.972687666
685,Dighton Police Department,460 days 20:00:00
686,Dillard Police Department,14 days 11:49:05.395892500
687,Dilley Police Department,227 days 21:00:22.375886500
688,Dodge City Police Department,30 days 17:30:39.204697500
689,Donalsonville Police Department,82 days 00:00:23.001012
690,Doral Police Department,48 days 20:35:33.949723500
691,Doraville Police Department,269 days 11:43:46.841754
692,Dorchester County Sheriff,2 days 16:36:10.467827500
693,Dorchester County Sheriff's Office,154 days 20:00:00
694,Dothan Police Department,27 days 21:26:16.729763
695,Dougherty County Sheriff,2 days 20:58:13.171234
696,Douglas County Sheriff,20 days 01:50:32.572929
697,Douglas County Sheriff's Office,29 days 12:15:05.115083666
698,Douglas County Sheriffs Office (NV),13 days 12:02:22.901102
699,Douglasville Police Department,3 days 08:33:56.114985500
700,Dover Police Department,1 days 14:46:19.819002857
701,Downers Grove Police Department,36 days 00:18:20.009571
702,Downey Police Department,586 days 15:24:12.529489592
703,Doylestown Township Police Department,119 days 08:00:00
704,Dracut Police Department,8 days 20:00:00
705,Dryden Police Department,119 days 05:31:32.479080
706,DuPage County Sheriff,12 days 12:00:00
707,Dublin Police Department (OH),23 days 06:29:31.482285
708,Dubuque Police Department,16 days 20:00:00
709,Dudley Police Department,0 days 19:00:00
710,Duke University Police Department,7 days 19:00:00
711,Duluth Police Department,710 days 04:06:10.991195336
712,Dunwoody Police Department,12 days 12:11:14.475060
713,Duplin County Sheriff's Office,50 days 23:13:16.093193
714,Durham County Sheriff's Office,59 days 19:00:00
715,Durham Police Department,40 days 04:13:40.777292630
716,Duval County Sheriff,20 days 17:50:41.922123
717,Duxbury Police Department,8 days 21:34:41.543057
718,Eagle Mountain Police Department,56 days 14:25:37.544750
719,Early County Sheriff's Office,85 days 00:56:52.446630
720,East Baton Rouge Parish Sheriff's Office,23 days 13:58:56.385713857
721,East Brandywine Township Police Department,52 days 20:00:00
722,East Carolina State University Police Department,89 days 22:55:40.709209500
723,East Carroll Parish Sheriff's Office,226 days 12:19:11.622957
724,East Feliciana Parish Sheriff's Office,11 days 20:00:00
725,East Fishkill Town Police Department,19 days 22:42:18.513189
726,East Greenbush Police Department,36 days 20:00:00
727,East Greenwich Police Department,4 days 15:46:49.396809200
728,East Hampton Town Police Department,141 days 15:39:47.959684
729,East Hampton Village Police Department,19 days 07:30:00
730,East Lansing Police Department,46 days 07:30:00
731,East Liverpool Police Department,0 days 20:00:00
732,East Palo Alto Police Department,261 days 14:52:26.006835
733,East Providence Police Department,6 days 16:48:34.380505
734,East Rochester Village Police Department,132 days 17:46:21.292649
735,East Rutherford Police Department,34 days 00:02:47.455586500
736,Easthampton Police Department,2 days 06:29:19.203660500
737,Eastland County Sheriff's Office,1439 days 00:16:00
738,Easton Police Department,39 days 20:00:00
739,Echols County Sheriff's Office,10 days 07:41:05.145858
740,Echols County Sheriffs Office,4 days 12:11:14.475060
741,Eddy County Sheriff's Department,24 days 20:00:00
742,Eden Police Department,100 days 03:29:40.673887
743,Edgewood Borough Police,59 days 02:33:56.396610
744,Edinburg Police Department,32 days 22:45:34.528473666
745,Edison Police Department,172 days 16:29:30.086228
746,Edwardsville Police Department,6 days 20:00:30.686863
747,Effingham County Sheriff's Office,41 days 07:46:57.698253
748,El Cajon Police Department,120 days 02:21:45.953004600
749,El Cerrito Police Department,0 days 21:38:10.943025
750,El Dorado County Sheriff's Office,104 days 18:41:08.897448858
751,El Dorado Police Department,5 days 11:57:23.027974
752,El Monte Police Department,30 days 12:12:18.447225800
753,El Paso County Sheriff,67 days 05:47:47.629701500
754,El Paso Police Department,59 days 18:01:13.194966375
755,El Segundo Police Department,23 days 03:43:13.406016
756,Elbert County Sheriff,0 days 20:00:00
757,Elgin Police Department,36 days 21:53:21.264150571
758,Elk Grove Police Department,61 days 05:09:32.258553429
759,Elk River Police Department,58 days 17:51:57.079994
760,Elkhart Police Department,33 days 08:43:01.642867
761,Elkins City Police Department,32 days 19:00:00
762,Elko County Nevada Sheriff's Office,37 days 22:24:51.220036666
763,Elko Police Department,12 days 15:35:42.498700
764,Ellensburg Police Department,18 days 19:00:00
765,Ellenville Village Police Department,59 days 20:00:00
766,Ellicottville Town Police Department,217 days 22:26:34.506451
767,Ellis County Sheriff's Department,0 days 00:56:00
768,Elmhurst Police Department,7 days 23:36:11.587220500
769,Elmira Heights Village Police Department,167 days 12:43:35.082931500
770,"Elmwood Park, NJ Police Department",59 days 08:22:22.470887
771,Eloy Police Department,33 days 19:00:00
772,Emerson College Police,39 days 19:00:00
773,Emeryville Police Department,40 days 02:42:07.861735800
774,Emmet County Sheriff’s Office,8 days 01:22:02.170374
775,Emporia Police Department,1 days 21:08:00.471563
776,Enfield Police Department,54 days 16:57:28.685170800
777,Englewood Cliffs Police Department,19 days 19:22:13.422590
778,Englewood Police Department,47 days 10:52:18.875667
779,Enid Police Department,36 days 16:01:07.412926500
780,Enumclaw Police Department,21 days 22:23:13.395974500
781,Erie County Central Police Services,27 days 19:00:00
782,Erie County Sheriff,4 days 18:21:51.231248
783,Erie County Sheriff's Office,1169 days 07:53:27.740257536
784,Erie Police Department,289 days 12:08:48.455012752
785,Erlanger Police Department,6 days 08:59:21.379723
786,Escambia County Sheriff's Office,111 days 05:14:48.446412600
787,Escondido Police Department,56 days 08:39:34.394052273
788,Essex County Sheriff,21 days 05:18:27.289301500
789,Essex County Sheriff's Office,0 days 19:27:25.597181
790,Etna Borough Police Department,416 days 19:30:00
791,Etna Police Department,32 days 15:32:57.786758
792,Euclid Police Department,29 days 19:00:00
793,Eufaula Police Department,1 days 20:00:00
794,Eugene Police Department,104 days 20:10:49.058642
795,Eureka Police Department,18 days 18:06:09.321415750
796,Evangeline Parish Sheriff's Office,13 days 20:00:00
797,Evans County Sheriff's Office,15 days 07:41:05.145858
798,Evanston Police Department,35 days 20:53:36.842298415
799,Evansville Police Department,64 days 19:06:01.478115286
800,Everett Police Department,78 days 19:47:15.015474533
801,Evergreen Park Police Department,9 days 03:42:36.488320500
802,Excelsior Springs Police Department,1 days 22:47:01.077570
803,Executive Office of Public Safety and Security,142 days 13:31:22.905840530
804,Fairbanks Police Department,4 days 19:00:00
805,Fairfax County Department Of Public Safety Communications,0 days 19:10:45.985619
806,Fairfax County Police Department,15 days 22:19:10.325778047
807,Fairfax County Sheriff,9 days 13:29:46.456455375
808,Fairfield Police Department,31 days 00:18:15.894322182
809,Fairmont Police Department,5 days 12:48:35.058448
810,Fairport Village Police Department,41 days 18:23:42.216993500
811,Falfurrias Police Department,33 days 20:00:00
812,Fall River Police Department,58 days 01:08:57.577897056
813,Falls Church Police Department,56 days 20:37:04.296043500
814,Fallsburg Police Department,148 days 07:05:46.435881
815,Falmouth Police Department,17 days 07:37:29.931035
816,Fannin County Sheriff's Office,91 days 19:43:19.798113
817,Fargo Police Department,28 days 22:16:02.488315666
818,Farmers Branch Police Department,78 days 12:28:53.223708500
819,Farmington Hills Police Department,27 days 14:44:41.014749666
820,Farmington Police Department,12 days 11:01:33.921228
821,Faulkner County Sheriff's Office,22 days 23:48:25.732348
822,Fayette County Sheriff,5 days 19:03:05.357071250
823,Fayette County Sheriff's Office,322 days 23:05:20.741089
824,Fayetteville Police Department,428 days 21:51:09.925054584
825,Federal Way Police Department.,44 days 13:54:18.452874166
826,Fenton Police Department,42 days 20:00:00
827,Fentress County Sheriff,9 days 20:05:23.213617
828,Ferguson Police Department,105 days 21:29:25.753542566
829,Ferndale Police Department,11 days 16:11:49.714231
830,Fishkill Police Department,188 days 08:06:00.329821
831,Fitchburg Police Department,462 days 02:34:47.298309504
832,Fitzgerald Police Department,101 days 12:11:14.475060
833,Flagler County Sheriff's Office,19 days 20:00:00
834,Flagstaff Police Department,106 days 19:04:35.050803
835,Flathead County Sheriff's Office,105 days 19:00:00
836,Flemington Police Department,32 days 23:28:09.887552
837,Flint Police Dept.,57 days 13:48:18.935393200
838,Floral Park Village Police Department,1 days 22:06:15.192068
839,Florence Police Department,144 days 08:59:00
840,Florida City Police Department,19 days 08:20:22.256773
841,Florida Village Police Department,110 days 21:02:23.221894500
842,Florissant Police,254 days 20:02:57.386646
843,Flower Mound Police Department,73 days 13:13:15.211408
844,Flowood Police Department,41 days 13:07:05.209659
845,Floyd County Sheriff,68 days 07:38:20.546924667
846,Foley Police Department,10 days 23:20:11.011117
847,Folsom Police Department,12 days 19:34:38.754236
848,Fontana Police Department,157 days 07:26:10.902131300
849,Ford County Sheriff's Office,13 days 17:43:06.638568
850,Forsyth County Sheriff,6 days 20:55:54.722215
851,Forsyth County Sheriff's Office,274 days 01:05:55.573519
852,Fort Bend County Sheriff's Office,267 days 18:19:08.837952
853,Fort Bragg Police Department,28 days 08:01:02.356203750
854,Fort Myers Police Department,42 days 10:53:58.091331
855,Fort Pierce Police Department,4 days 16:49:19.767906
856,Fort Scott Police Department,20 days 12:06:03.364373
857,Fort Walton Beach Police Department,15 days 20:00:00
858,Fort Wayne Police,82 days 11:49:00.535073999
859,Fort Worth Police Department,83 days 21:35:46.078262456
860,Fortuna Police Department,14 days 00:56:42.845310500
861,Foster City Police Department,15 days 14:54:05.247082666
862,Foster Police Department,15 days 02:00:00
863,Fountain Valley Police Department,18 days 11:00:41.286623500
864,Fox Valley Metro Police,19 days 19:10:01.931779
865,Foxborough Police Department,600 days 16:17:08.571428568
866,Framingham Police Department,12 days 21:27:04.729239555
867,Framingham State University Police,1080 days 11:47:37.892524
868,Franconia Police Department,4 days 22:12:56.346101
869,Frankfort Police Department,7 days 10:25:08.246757
870,Franklin County Sheriff's Department,35 days 10:45:05.522348
871,Franklin County Sheriff's Office,192 days 14:57:47.896507362
872,"Franklin County Sheriff's Office, Pasco, Washington State",26 days 10:31:18.310136
873,Franklin County sheriff,9 days 20:31:57.357232
874,Franklin Police Department,3 days 17:01:09.860205666
875,Frederick County Sheriff's Office,160 days 12:09:11.582829778
876,Fredericksburg Police Department,6 days 19:00:00
877,Freeport Village Police Department,233 days 09:14:49.901711
878,Freetown Police Department,340 days 19:00:00
879,Fremont County Sheriff,9 days 08:48:20.930800
880,Fremont Police Department,18 days 13:35:48.091573500
881,Fresno County Sheriff's Office,186 days 15:47:37.894353100
882,Fresno Police Department,105 days 23:20:11.505253792
883,Friendship Town Police Department,440 days 09:00:40.549046
884,Frisco Police Department,26 days 20:45:58.862274444
885,Fullerton Police Department,128 days 05:24:48.349049624
886,Fullerton Police Department CA,71 days 01:44:32.018373
887,Fulton County Police Department,21 days 19:00:00
888,Fulton County Sheriff,18 days 10:14:21.860141
889,Fulton County Sheriff's Department,3 days 19:49:15.461561
890,Fulton County Sheriff's Office,178 days 08:00:55.828630400
891,Fulton Police Department,258 days 23:25:18.104915
892,Gadsden County Sheriff's Office,13 days 19:00:00
893,"Gadsden, AL Police Department",121 days 19:00:00
894,Gainesville Police Department,52 days 09:11:42.661814999
895,Gallatin County Sheriff's Office,103 days 20:16:27.911993500
896,Gallup Police Department,47 days 19:00:00
897,Galt Police Department,12 days 02:38:02.566194750
898,Galveston Police Department,23 days 13:29:56.090029
899,Garden City Police Department,32 days 20:52:45.056931
900,Garden City Village Police Department,57 days 11:38:00.566952
901,Garden Grove Police Department,56 days 04:34:30.519382250
902,Gardena Police Department,54 days 11:02:46.656063250
903,Gardner Police Department,196 days 02:46:39.526694
904,Garfield County Sheriff,3 days 20:00:00
905,Garland County Sheriff,23 days 01:56:46.269950
906,Garland Texas Police Department,39 days 04:44:48.502752166
907,Gary Police Department,168 days 20:00:00
908,Garza County Sheriff's Office,17 days 18:33:42.494842
909,Gaston County Police Department,76 days 19:00:00
910,Gaston County Sheriff,127 days 06:42:53.627553
911,Gastonia Police Department,44 days 19:52:36.398257500
912,Gates Town Police Department,193 days 21:43:39.996137
913,Geddes Town Police Department,198 days 08:51:09.205767
914,Gem County Sheriff's Office,19 days 21:02:19.843900
915,Genesee County Sheriff,100 days 00:16:54.044308
916,Geneseo Village Police Department,35 days 21:40:27.900085
917,Geneva City Police Department,378 days 07:28:57.605226
918,Geneva Police Department,31 days 20:00:00
919,Georgia Department of Public Safety,32 days 04:57:55.313730250
920,"Georgia Institute of Technology Police Department, Office of Emergency Preparedness",4 days 08:00:00
921,Georgia Tech Police Department,38 days 01:48:17.294326
922,Germantown Police Department,19 days 04:29:17.374578
923,Gettysburg Police Department,24 days 00:52:16.465611500
924,Giddings Police Department,640 days 05:08:41.868420
925,Gila County Sheriff's Office,229 days 20:00:00
926,Gilbert Police Department,39 days 05:39:57.485564500
927,Giles County Sheriff,7 days 06:22:07.358083
928,Giles County Sheriff's Office,568 days 11:34:54.581325
929,Gilmer County Sheriff's Office,9 days 18:38:23.655605500
930,Glades County Sheriff's Office,313 days 05:34:01.994273500
931,Glascock County Sheriff's Office,10 days 07:41:05.145858
932,Glen Cove Police Department,24 days 20:00:00
933,Glen Ellyn Police Department,11 days 22:38:56.227263
934,Glen Park Village Police Department,15 days 04:37:09.404458
935,Glendale Police Department,118 days 21:56:45.711101610
936,"Glendora, CA Police Department",20 days 04:07:44.926758
937,Glenn County Sheriff,19 days 10:25:28.400949800
938,Glenn County Sheriffs Office,8 days 00:27:36.991795
939,Glenview Police Department Illinois,12 days 02:49:34.896892250
940,Glenwood Springs Police Department,43 days 20:00:00
941,Globe Sheriff's Office,3 days 19:00:00
942,Glocester Police Department,2 days 02:00:00
943,Gloucester Police Department,1201 days 20:00:00
944,Gloversville City Police Department,349 days 04:39:43.176792
945,Glynn County Sheriff's Department,21 days 19:59:38.480011333
946,Goffstown Police Department,12 days 21:14:12.064286
947,Gogebic County Sheriff,11 days 07:24:13.629996666
948,Golden Beach Police Department,112 days 12:50:34.533296334
949,Golden Valley Police Department,117 days 21:58:59.649594
950,"Goleta, CA Police Department",19 days 20:00:00
951,Gooding County Sheriff's Office,1036 days 03:12:52.993563008
952,Goodyear Police Department,23 days 20:45:29.829585333
953,Gordon County Sheriff's Office,112 days 22:12:03.271896
954,Goshen Police Department,1 days 20:00:00
955,Goshen Town Police Department,437 days 15:32:40.441757336
956,Graham County Sheriff's Department,22 days 22:23:19.881453
957,Graham Police Department,299 days 03:55:22.694987
958,Grand Forks Police Department,3 days 19:34:41.634660600
959,Grand Island Town Police Department,55 days 11:42:36.465572333
960,Grand Junction Police Department,3 days 13:53:18.529032666
961,Grand Prairie Police Department,40 days 10:07:53.642638928
962,Grand Rapids Police Department,150 days 03:40:00
963,Grant County Sheriff,40 days 09:50:26.655118500
964,Grant County Sheriff's Office,92 days 10:14:21.860141
965,Grants Pass Department of Public Safety,31 days 22:33:57.625504
966,Grantville Police Department,0 days 20:52:37.857273
967,Granville Village Police Department,89 days 08:31:31.832399
968,Gratiot County Sheriff,36 days 08:01:27.904414
969,Graves County Sheriff's Office,16 days 11:16:37.713135
970,Graymoor-devondale Police Department,2 days 10:17:00.179860
971,Grays Harbor County Sheriff's Office,34 days 15:48:06.637171800
972,Grayson County Sheriff's Office,16 days 19:00:00
973,Great Barrington Police Department,6 days 23:45:19.297682
974,Great Falls Police Dept.,33 days 19:08:27.815211500
975,Great Neck Estates Village Police Department,61 days 20:37:55.547912
976,Greece NY Police Department,41 days 21:15:16.453617
977,Greeley Police Department,22 days 20:00:00
978,Green Bay Police Department,214 days 19:45:28.730736860
979,"Green Cove Springs, Police Department",36 days 22:45:02.995350
980,Green Island Village Police Department,350 days 11:32:11.178797
981,Greenburgh Police Department,22 days 17:58:41.746519500
982,Greene County Sheriff,56 days 03:15:03.295915750
983,Greene County Sheriff's Department,8 days 23:40:52.447449
984,Greene County Sheriff's Office,397 days 01:46:48.469531
985,"Greene County, Ms Sheriff's Office",41 days 12:34:24.367757
986,Greene Village Police Department,47 days 17:11:13.356270
987,Greenfield Police Department,13 days 01:29:04.425484
988,Greensboro Police Department,141 days 23:39:56.083624116
989,Greensburg Police Department,61 days 11:08:14.510426
990,Greenville County Sheriff's Department,28 days 11:59:40.472052500
991,Greenville Police Department,52 days 09:26:50.513570143
992,Greenwood Lake Village Police Department,187 days 05:35:39.220771
993,Greer Police Department,0 days 19:00:00
994,Griffith Police Department (IN),12 days 22:19:44.748340
995,Grosse Ile Police,4 days 19:39:58.122164
996,Grosse Pointe Park Public Safety,106 days 00:12:18.773719
997,Groton Police Department,0 days 01:31:28.868820
998,Groton Village Police Department,341 days 11:53:02.958755
999,Grover Beach Police Department,11 days 21:33:31.380518
1000,Grundy County Sheriff's Office,91 days 16:00:17.556196
1001,Guadalupe County Sheriff,571 days 03:13:30.363546496
1002,Guadalupe Police Department,46 days 22:28:34.327229
1003,Guam Police Department,55 days 20:00:00
1004,Guilderland Police,195 days 06:35:37.279821
1005,Guilford County Sheriff's Office,135 days 00:10:15.632921
1006,Gulf Breeze Police Department,3 days 22:35:25.071501500
1007,Gulf County Sheriff's Office,1 days 19:49:45.245887
1008,Gunnison Police Department,2 days 20:25:11.702630
1009,Gurnee Police Department,1 days 14:54:47.572757
1010,Gwinnett County Police Department,98 days 18:16:43.194902165
1011,Gwinnett County Sheriff,22 days 21:52:54.316137
1012,Haddon Heights Police Department,3 days 20:00:00
1013,Hadley Police Department,1 days 20:00:00
1014,Hagan Police Department,7 days 01:46:50.819886
1015,Hagerstown City Police Department,49 days 04:14:03.004102500
1016,Hagerstown Police Department,58 days 20:49:34.734516
1017,Haines City Police Department,9 days 21:30:04.793086
1018,Hall County Sheriff,21 days 01:06:10.074866
1019,Hamblen County Sheriff,6 days 19:24:03.615474
1020,Hamburg Village Police Department,390 days 04:40:00.353195
1021,Hamilton County Sheriff,5 days 08:00:00
1022,Hamilton County Sheriff (ID),24 days 22:56:42.719059
1023,Hamilton County Sheriff's Office,12 days 03:47:34.586905666
1024,Hamilton Township North Police Department,14 days 20:00:00
1025,Hamilton county sheriff's office,25 days 12:36:48.337237
1026,Hammond Police Department,289 days 06:21:44.374378400
1027,Hammondsport Village Police Department,92 days 20:17:37.532392
1028,Hampden County Sheriff's Office,12 days 07:09:49.395512666
1029,Hampshire County Sheriff,38 days 10:10:44.532876500
1030,Hampton Police Division,360 days 12:31:09.267722252
1031,Hancock County Sheriff,14 days 07:19:17
1032,Hancock County Sheriff's Office,13 days 21:32:18.230588
1033,Hancock Village Police Department,239 days 08:56:42.534357
1034,Hanson Police Department,167 days 22:08:51.846370
1035,Hardee County Sheriff's Office,51 days 03:36:25.407927666
1036,Hardin County Sheriff,253 days 17:44:33.235442
1037,Hardin County Sheriff's Office,76 days 07:46:57.698253
1038,Hardin County Sheriffs Office,97 days 22:07:33.531026
1039,Harlingen Police Department,7 days 08:00:00
1040,Harnett County Sheriff,86 days 19:13:38.722501
1041,Harris County Sheriff,93 days 22:52:09.977806474
1042,Harris County Sheriff's Office,30 days 21:56:01.409880
1043,Harrisburg Police Department,190 days 16:40:49.335034250
1044,Hart County Sheriff's Office,7 days 22:53:48.275712
1045,Hartford Police Department,235 days 06:46:37.642396
1046,Harvard University Police,35 days 13:30:38.567082285
1047,Harwood Heights Police Department Illinois,54 days 03:10:17.150033
1048,Haverhill Police Department,9 days 02:49:05.163715625
1049,Hawaii Department of Public Safety,35 days 22:41:52.829351708
1050,Hawaii Police Department,25 days 10:40:34.752965500
1051,Hawkins County Sheriff,516 days 06:22:07.358083
1052,Hawthorne Police Department,224 days 20:17:28.299046600
1053,Hays County Sheriff's Office,13 days 19:29:38.559757714
1054,Haysville Police Department,6 days 00:24:41.500354
1055,Hayward Police Department,166 days 05:37:17.869319272
1056,Haywood County Sheriff's Office,57 days 01:50:59.481218
1057,Heidelberg Police Department,17 days 08:00:00
1058,Helena Police Department,126 days 03:22:30.216027250
